KEY;AT;AU;BE;CH;DE;DK;ES;FI;FR;GB;NL;NO;NZ;PL;SE;US
CURRENCY;EUR;AUD;EUR;CHF;EUR;DKK;EUR;EUR;EUR;GBP;EUR;NOK;NZD;PLN;SEK;USD
BUYERREFERENCE;;Reception furniture;;;;Møbler til receptionen;;;;Reception furniture;;;;;;
SUPPLIERNAME;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Fredborg Lamper;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers;Nod Publishers
SUPPLIERSTREETNAME;Waterloo Place 2-4;Waterloo Place 2-4;Waterloo Place 2-4;Waterloo Place 2-4;Waterloo Place, 2-4;Nyborgvej 566;Waterloo Place, 2-4;Waterloo Place, 2-4;;Waterloo Place, 2-4;;;;;;
SUPPLIERADDITIONALSTREETNAME;Waverly Gate;Waverly Gate;Waverly Gate;Waverly Gate;Waverly Gate;;;Waverly Gate;;Waverly Gate;;;;;;
SUPPLIERCITYNAME;Dresden;EAST MELBOURNE;BURCHT;Buchrain;Dresden;København K;Alicante Alacant;Helsinki;;Edinburgh;;;;;;
SUPPLIERPOSTALZONE;1238;3002;2070;6033;1238;1152;3003;57810;;EH1 3EG;;;;;;
SUPPLIERCOUNTRY;AT;AU;BE;CH;DE;DK;ES;FI;FR;GB;NL;NO;NZ;PL;SE;US
SUPPLIERCOMPANYID;295267495;295267495B01;295267495B01;CHE-295.267.495MWST;295267495;99999999;295267495A;295267495;;GB666666666;;;;;;
CUSTOMERNAME;CRONUS AT;CRONUS AU;CRONUS BE;CRONUS CH;CRONUS DE;CRONUS Danmark AS;CRONUS ES;CRONUS FI;CRONUS FR;CRONUS GB ltd.;CRONUS NL;CRONUS NOK;CRONUS NZ;CRONUS PL;CRONUS SE;CRONUS US
CUSTOMERSTREETNAME;Ringstrasse 5;1 Epping Road;De Ring 5;Hofstrasse 12;Hofstrasse 12;Ringen 5;Avenida Aragón, 5;Kaarikuja 5;;7122 South Ashford Street;;;;;;
CUSTOMERADDITIONALSTREETNAME;;NSW;Zone II;Basel;Benrath;;Centro Negocios;;;Westminster;;;;;;
CUSTOMERCITYNAME;Rosenstadt;CANBERRA;MECHELEN;Zug;Hamburg;Kugleby;Madrid;Helsinki;;London;;;;;;
CUSTOMERPOSTALZONE;9999;2600;2800;6300;20097;9900;28023;01201;;W2 8HG;;;;;;
CUSTOMERCOUNTRY;AT;AU;BE;CH;DE;DK;ES;FI;FR;GB;NL;NO;NZ;PL;SE;US
CUSTOMERID;ATU12345678;777777777;777777777;CHE-777.777.777MWST;777777777;77777777;77777777A;777777777;;777777777;;;;;;
CUSTOMERCONTACTNAME;Heiko Graf;Robin Bettencourt;Dale Lebbink;Bernhard Kohler;Bernhard Kohler;Lukas Søndergaard;Sergio Valladares;Antero Tuominen;;Robin Bettencourt;;;;;;
CUSTOMERCONTACTTELEPHONE;999 / 9 99 99 99;2054189362;+32 (0)2 424 65 60;0666-666-6666;999 / 9 99 99 99;11 22 33 44;91-2229788;+358 9 123 456;;2054189362;;;;;;
CUSTOMEREMAIL;hg@cronus.at;rb@cronus.au;dl@cronus.be;bk@cronus.ch;bk@cronus.de;ls@cronus.dk;sv@cronus.es;at@cronus.fi;;rb@cronus.uk;;;;;;
DELIVERYPARTYNAME;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL;DHL
PAYMENTTERMSNOTE;;Payment within 10 days, 2% discount;;;;Kontantrabat på 2% ved betaling inden 10 dage.;;;;Payment within 10 days, 2% discount;;;;;;
TOTALTAXAMOUNT;860;645;903;344;817;1075;903;01032;;860;;;;;;

TOTALAMOUNTINCLTAX;5160;4945;5203;4644;5117;5375;5203;5332;;5160;;;;;;
TAXPERCENTAGE;20;15;21;8;19;25;21;24;;20;;;;;;
TOTALAMOUNTEXCLTAX;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300
ITEM1DESCRIPTION;LONDON Stuhl, blau;LONDON Guest Chair, blue;LONDON stoel, blauw;LONDON Stuhl, blau;LONDON Stuhl, blau;LONDON stol, blå;LONDRES Silla, azul;LONDON-toimistotuoli, sin;;LONDON Guest Chair, blue;;;;;;
ITEM2DESCRIPTION;PARIS Stuhl, schwarz;PARIS Guest Chair, black;PARIS stoel, zwart;PARIS Stuhl, schwarz;PARIS Stuhl, schwarz;PARIS stol, sort;PARIS Silla, negra;PARIS-vierastuoli, musta;;PARIS Guest Chair, black;;;;;;
UNITOFMEASURECODE;STÜCK;EA;STUKS;STK;STÜCK;STK;UDS;KPL;;AE;;;;;;
